LaborRateID,Description,LaborRateCurrencyID,LaborRate,SpecialMeaning,CostCodeID,CostTypeID
1,"Shop Labor",1,70.350000000000000,0,NULL,NULL
2,Detailing,1,105.000000000000000,1,NULL,NULL
3,Erecting,1,84.000000000000000,2,NULL,NULL
4,Checking,1,133.560000000000000,0,NULL,NULL
5,"VS Blast",1,322.670000000000000,0,NULL,NULL
7,"Voortman System Cost",1,0.000000000000000,0,NULL,NULL
8,"Fabrication Welding",1,70.350000000000000,0,NULL,NULL
9,"Loading - Inbound",1,71.930000000000000,0,NULL,NULL
12,"VS Saw & Drill",1,170.730000000000000,0,NULL,NULL
13,"VS Cope",1,257.460000000000000,0,NULL,NULL
19,"Material Handling - Structural",1,71.930000000000000,0,NULL,NULL
21,"Plate Processing",1,131.250000000000000,0,NULL,NULL
22,"Paint Labor",1,71.930000000000000,0,NULL,NULL
25,"Angle Line",1,143.330000000000000,0,NULL,NULL
26,"PM - shop allocation",1,0.000000000000000,0,NULL,NULL
27,"Camber - Cold",1,149.630000000000000,0,NULL,NULL
28,"Procurement - shop allocation",1,0.000000000000000,0,NULL,NULL
29,"Estimating - shop allocation",1,0.000000000000000,0,NULL,NULL
32,"Press Brake",1,131.250000000000000,0,NULL,NULL
33,"Camber - Hot",1,149.630000000000000,0,NULL,NULL
34,"Tube Plasma",1,94.710000000000000,0,NULL,NULL
35,"Vertical Saw",1,86.840000000000000,0,NULL,NULL
36,"Tube Bender",1,94.710000000000000,0,NULL,NULL
37,"Voortman Paint Line",1,182.180000000000000,0,NULL,NULL
38,"Voortman Paint Line Handling",1,71.930000000000000,0,NULL,NULL
42,Engineering,1,133.560000000000000,0,NULL,NULL
